overall,reviewText
negative,this product is a joke none of the holes line up what a waste of space i have seen better craftsmanship from a middle school it class
neutral,ok for the price not sure it collects as much dust as it blows around
positive,good
negative,this did not work for me can i return the product thanks
positive,these smooth silicone tips fit easily over wire earpieces problem is that they also easily slip off i increased the traction to prevent slippage by drizzling a bit of sobo or elmers glue on the earpieces essentially increasing their diameter and letting it dry before reattaching the end tips works fine looks fine
neutral,i love the color of this lipstick and the matte appearance the only thing is that you can buy it for half a price on the elf website especially during promotions
negative,dont like any more
negative,came super early but it was wayyy to small only someone with baby ears would be able to wear this and it was bent when i received it would not recommend
negative,i was really excited about this product due to its great reviews but when i tried it o m g i have normal to dry hair and previously was using another natural shampoo without conditioner at all fundamental shampoo dried my hair instantly so much to the point that it was squeaky  my hair was super dry and i couldnt even brush it i dont get that even with regular chemical shampoos moreover when i tried to return it it stated as it was nonreturnable i had to contact amazon customer service
positive,i have some irregular crevices in my teeth that floss has a hard time cleaning properly  the proof that the waterpik works is in the form of the visibility of particles of food that were removed from my gum line after brushing and flossing  these are visible in the water outflow into the sink
positive,i love this its great for drying my fine hair gives it volumn
neutral,its ok i mean like its nice but the gem or whatever placed on the ring was crooked and so was the actual soul gem its self also the symbol on the soul gem was not on the gem nicely it looked more like a blob but other than that its ok the shipping was fast so thats one thing i liked
neutral,at first i thoughtbath mitt genius so much easier than a washcloth but not really i dont like putting this thing on and off my handit fits way up my writs and is sort of difficult when wet and you cant clean both sides of your body easily if you cant switch hands this is a little bit rough for facial skinnot exactly as rough as a loofah but still too abrasive for your face i dont hate this but using a washcloth is easier i use it about once a week it is good for dry scaly skin
negative,the lip ring balls broke two days later i had to go replace them everyday i decided to get metal ones at hot topic they are so totally not worth it and a waste of money
neutral,package came on time witch was good look exactly how it looks in the pic everything come with it but what i did not like was that it only was supposed to cost  and some change because it said shipping was free but they charged me some change for shipping then when i finally used the product it was easy to put together and the wax that they sent with the gig was for sensitive skin but when i being to wax myself i first tested it on my arm it came out well but then i put it on my uperlip it became really sticky very messy to deal with also the wax did not want to come off my lip even tho i followed the institution for it so i do like the heating part but the wax they sent with it is to thick for the face and feet
neutral,it was not the right size
neutral,the problem with this bar of soap is after showering i have an inexplicable urge to go eat a bag of peppermint patties anyway it is a french milled soap which i now understand means it should have fewer air pockets and therefore can be expected to last longer from my perspective while it lathers up pretty well right its way too big to fit in my travel kit soap dish and if i use it enough to sufficiently diminish in size after eating all those peppermint patties i probably will not be able to fit into an airline economy seat which no doubt would be my only alternative if i regularly pulled out the cash to buy this brand
negative,have a weird smell
positive,excellent product
negative,the green and yellow appear to have been used
negative,so i bought this for my fianc he loved hes clipper only thing is that it burned or broke within like  weeks of having it so that was disappointing buying an expensive clipper so itll break luckily all andis products have an  year of warranty so i send them the product and recently got it back so hopefully it works longer this time
negative,was not very flexible had a hard time securing the person the product was thrown away because i could not find my receipt
negative,like some of the other reviewers i ordered the  piece set  the price was shockingly low but i figured that perhaps it was clearance  also other reviewers before this debacle posted that they did indeed get  bottles of polish so i ordered a set thinking i was getting a deal  i got one bottle of blue mist polish a color i wouldnt have ordered by itself  i understand that theres mistakes but im extremely disappointed that the seller beauty joint didnt contact me to let me know there was a changemistake in the product description and ask if i wanted to continue or cancel the order  just shipping the single bottle with no communication isnt right at all
neutral,very cheap material  probably wont use
positive,loved it you can see how your eyes look relaxed in just a few days of using it
positive,exactly what i needed super easy to install as well
neutral,this doesnt work nearly as well as the liquid
negative,just received my badedas   i had ordered what i thought was original  it turns out toe be classic original   which is not original at all  it seems to be the new formula  which does not come close to being as good as the original  it is sad to see a good product made into a cheap imitation  save your money  i have used the original for many many years  i ordered three bottles for   i could have gotten a better copy in the grocery store for five dollars a bottle
neutral,i tried this and each time i change the blue clips the entire head unit pulls off no matter how easy i try to change them out very frustrating overall  i might use this again in a few days for a touch up but i have a feeling it will be the same game all over again change clips and put it all back together again  other than this issue fairly close shave and practice will make perfect but im going to look for another brand
positive,bought  boxes and will buy more
positive,wig looked great high quality hair one thing to note the bun is not connected to the main hair piece  it came separate with an odd bungee string ended up cutting the string and attaching the bun to the wig with safety pins i would give it three stars for that inconvenience but i was too happy with the quality of the wig to do so
positive,mehron brushes are the best excellent quality
neutral,i made my first lotion using the ratio amount suggested on the package my lotion broke down after a week now i am up to  of my total product and my lotions and cream are still losing emulsificatiion i dont know if i will purchase this again
neutral,not the best but they work for when you lose one and need to keep the hole open till you can find another one that actually stays in not to mention theyre rather small
negative,this has an irritating ingredient in it and is not good for cuts and burns like other aloe gel  it stings a lot when i put it on a cut or raw area  it does work for very minor irritations and itchy skin  i will use something else in the future though
positive,this is the best sunscreen that works under makeup it doesnt leave a white cast on my face it also works as a primer i used to where a sunscreen and primer im happy to simply my routine with the tacha silken pore perfecting sunscreen
neutral,they spray for awhile then you have to fight with it to continue to spray very frustrating
positive,man i am here to tell you yes you men get rid of that  bladed overpriced piece of junk in your bathroom called a razor and get back to what grandpa was using a good single edge razor shaving cream that comes in a bowl or tube and a good silver badger brush and lotsa hot water you will not believe how smooth a shave you will receive remember the snl skit back in the s that lampooned multi blade razors that ended with because youd believe anything well stop believeing anything and go back to the past  i went backwards in shaving history and found that the overpriced piece of junk i had been using was just that i was being robbed buying  and  blade razor blades that cost  cents to make and were emptying my bank account i have a beard that is like copper wire i have shaved it for years using a multi blade and thought i was getting a close shavewrong these astra blades are wonderful i get the best and closest shave i have ever had with these and do the math you will save money galore using them my wife loves the smoothness and so do i do it buy astra you wont be sorry
neutral,seems watered down but not sure if its normal to be that way
positive,my daughter and i have been using this product for years was very happy to be able to purchase these  thank you for supplying them
negative,the consistency of this product is really really weird it rubs off easily and its not pigmented at all this is for someone who likes a subtle glow for me i like my highlighters intense
negative,i really wanted these to work i just couldnt clear the frame to put on makeup
positive,everything i was looking for i wish the glue was a little more tacky
neutral,it is hard to get excited about mouthwash but for me it is especially hard to get excited about alcoholfree mouthwash i tend to prefer antiseptic to antibacterial mouthwash this one being the latter but i was asked to try it  part of the reason i am skeptical of nonalcoholic mouthwashs frankly is that the taste on many of them just isnt very strong i want a strong mint and most nonalcohiolic mouthwash ive tried is rather wimpy this colgate total advanced proshield wintermint though is surprisingly bold in flavor i could feel the mint in my mouth for about an hour after i used it something i usually only get from listerine or act antiseptic mouthwash  as far as really cleaning my teeth im afraid i am going to stick with the alcoholinfused antiseptic mouthwash mostly because my problem is not bad breath but wanting to prevent gingivitis and the like but if you want a good antibacterial to head off bad breath and kill bacteria without drying your mouth out with alcohol i would recommend the colgate particularly if you like a bold flavor
negative,really bad jelewry
positive,im wearing mine now and i love them
neutral,this is not a makeup foundation first of all ageless ultra max is a supplement
positive,the best vitamin c ever
neutral,i liked the glow it had on my arm when i tested it but when i tried it on my face it would not appear and it felt tacky on top of that it was kind of hard to blend i do however like the subtle smell it has to it it smells like lemons  i will be using this as a base for other highlighters because i feel this has potential to do so i just wont be using it alone
neutral,ok blushes  was expecting better based on reviews nice variety of colors  but non of the shades are what i usually like to wear its just an extra pallette y not i do fund it more useful for bronzing
positive,my favorite scent of all time so hard to fine in town this product is great smells just like the perfumeoil and goes on so nice lasts a long time too
positive,i love how they have tie bars for different temples now  i hope they make more i love mine
neutral,very cute but the design had to be reglued
positive,this scent is wonderful for anyone wanting a sophisticated perfume on a stay in a  star hotel in london a few years ago the lotions and shampoos they supplied had this scent i have been looking for this perfume ever since and was so happy to see it on amazon i love it for the memories it brings back but i really think that anyone wanting a clean scent will love it also
neutral,i bought it because i thought the puff can fit inside but not
negative,purchased this item from bjs as a package with the waterpik flosser cordless plus  the cordless unit would not charge after   months of use  the waterpik ultra flosser sprays water all over the place  my ent doctor recommended this unit after sinus surgery and i had to purchase the nose adapter from the doctor  waterpik  offered no assistance and they are supposed to have a  year warranty on the product  i will see my doctor on monday and let him see the unit  i will also tell him not to recommend these units to his patients after sinus surgery  no faith in waterpik products
neutral,i got the must up to lift and firm my breast and bum i purchased two tubes one for my bum and one for my boobs i have used it religiously for two weeks and saw an amazing  nothing  yet i have high hopes and i hope that this product is the answer to my boobs and bum saddly i hasnt showed me anything yet not even a small sign i was and still am very disappointed its burning my body for nothing i will continue to use because i noticed when i was hot and started sweating it felt like they were tingling so maybe to get it too work youre body temperature has to be hot it seems to work better when ur hot vs being in a cool area you may notice as a result a warm or hot body makes the product work better or faster
positive,i loved this case held up for quite some time and looks exactly like the picture
neutral,i would not call this a stain i would call it chap stick it leaves a bit of color but does not have staying power
positive,exactly what i was looking for it worked perfectlybut the chalkboard paint doesnt come off very wellnot sure if thats the paint or these boards though
neutral,i like this but it doesnt always stay where you adjust it to but besides that it is really cute
neutral,not as cute as the picture
positive,great
negative,i have very curly dry hair and needed a conditioner that makes my hair smooth and soft this one doesnt help at all its like using no conditioner and as such a waste of my money  i cannot get through my hair even with the biggest comp after using this product beside that i dont smell any lavender actually i dont smell anything at all not a happy camper
negative,when i received the package and opened it the blushes were a lot smaller than i thought they would be on top of that the blushes have kind of a creamypowder consistency which i dont really like i just wanted a powder blush the brushes are too small maybe the size of an eye shadow brush which doesnt really bother me i wasnt going to use them anyway but youre probably better off applying it with your fingers i think the pictures are a bit misleading
negative,ive using this product for over four weeks i have yet to see any results its not worth the price
negative,incomplete
negative,horrible horrible horrible hasnt done a thing total waist of money
positive,these are great blades for me i have tried  different brands of blades these give me the closest shave i will be purchasing more of these when i use up up the persona blades that i just bought
negative,although i love zum soaps i am highly disappointed with these particular products the bundle did not include the great smelling varieties like dragonsblood and are rather small and frankly quite unappealing to the nose the assorted products are very very small and not worthy of even stocking stuffers if you are going to order from zum your money is better spent on individual bars would not buy these again also the boxes they came in were wrinkled and worn i had purchased these as giftsnot a good idea
positive,i like it control oil and does minimise my pores though only slightly
positive,real nice
negative,nails were not very think they bent real easy and not enough of the size for my finger to rellace the nail
neutral,works for what i wanted it for giving it a  because the sliding book stand is wobbly and doesnt have room to slide much because of its depth  we have an average to larger tub width and it fits across just fine
neutral,it was all mess up you need to make sure its wrap better i would sent it back but it wouldnt be worth it
neutral,its okay
negative,well the product i received was  the norelco   but i did not ghet the  extra blades or pouch that was suppose to go with it i complained  to amazon but they have done nothing about it but they did change the misleading ad  in fact that pretty much was admitting there error
neutral,i have no idea what bamboo activated charcoal soap means or what it is supposed to do ive used specialty soaps like this before so im not new to it black sea mud seaweed soap  which was amazing by the way for a  soap and the smell was probably the best ever if you have a gimmick like this you better be prepared to back it up with either an amazing smell or skin pampering excellence so heres what i discovered from using this soap  pros it gets your skin squeaky clean you really feel clean almost too clean because it rids your body of all its oils the soap is hard and lasts longer than you would expect it to it has a cool black color  cons its a really tiny bar of soap for  youd think they would splurge a little and make it bigger its almost hand soap the smell takes getting used to when i first opened it it was the oddest smell the only way to describe it is old chinese herbalist store clerk im asian by the way and ive encountered my fair share of strange odors when i go to my relatives houses you get used to it after a while though so it doesnt smell as weird after a few uses it didnt clear up my acne whatsoever i was having odd breakouts on my chin and i was washing thoroughly with this soap it didnt affect it at all who knows it may have actually made the zits appear faster  so overall i can really only say this soap is ok im not sure i would buy it again because i cant see the benefits outweighing the negatives its average soap with a strange smell my skin looks the same after two weeks of using it the bar has maybe a little less than one week left in it  disclaimer i received a discount on this item in exchange for my honest and unbiased review
neutral,this blow dryer was too small for someone with long hair you can use it with wet hair that been toweled dry too bad it doesnt really get that hot the hot setting is not that hot i did like the hard plastic brush but it is more for short hair if they had said that in the description i would not have purchased it unfortunately i missed the return date by one day because i thought it was from the day i received it not on the day i ordered it bummer because i will not be using it
positive,ive tried the lemon and chamomile so far i like it very smooth texture i havent been doing the acv rinse but my hair is fine my last bar shampoo left me with a sad case of dandruff and i think its a little better in the couple weeks since ive been using this bar i have long hair and it seems one of the sample bars lasts about  weeks for me
positive,i am sure that this machine must keep your teeth healthy hhh  i am  satisfied with your delivery sevice thats good
negative,havent been able to use zipper to short must replace before jacket will be usable
negative,they need to customize it to various sizes and figure out a way of identifying the appropriate size for an individual so heshe can order the right size most likely the one they are selling will not fit you as every one has a different nose built which might look samesimilar but the septum thickness cartilage lining thickness inside the nasal cavity etc differs from person to person it should also be adjustable for sizeclamping force
negative,this product has very little fragrance   i have purchased this product before from another company and it  was excellent so i dont understand why this soap is  it poor  maybe very old
neutral,ive been using for a few days personally to me its a great moisturizer i didnthavent noticed any firming will update after i use more
positive,after two applications the rash and itching disappeared
negative,wouldnt buy again doesnt work
positive,good
negative,the cross real pretty but the chain cheap quality and turned black in  days
positive,these gillette mach s shave closer with less iritation that any other onskin razor including schicks quattro  additionally the blades last for at least  shaves before needing to be replaced  the schick blades were noticeably duller after on  or  shaves
negative,didnt work with my toothbrush
positive,very nice wig super soft i can run my fingers through it as if it were my own hair just a little big for me though the cap and it does shed a lot looks like the picture doesnt tangle easy as long as your not throwing it around or riding in the wind
negative,they fit perfectly for my small fingers but they broke too easily wearing them turned my finger green but a reasonable price for costume jewelry
neutral,i expected this one to be navy and gold like the picture but it was navy and purple other than that its a nice case for the price and the quality is good
neutral,the product arrived on time and i have been using it for a few weeks  dont see a dramatic change from product use  fusion beauty liftfusion micro injected m tox transdermal face lift goz
positive,great product
neutral,these did not stay inside the shoe they rolled up after about three days also placing them in the correct spot was very difficult they are also smaller than i expected
neutral, of the sounds had oxidation or something on them i had to throw them out they arent  piece of stainless steel which was disappointing
negative,the curling brush didnt work  i had already thrown away the packaging because really who expects a brand new product not to work  very disappointed to say the least
negative,i bought two of these myself for me and my brother first  months it worked fine but after that charger for both of machines went bad after that now i have two machines and i am not able to use any of them since i faced with both the machines it is highly likely that it will be the same case with many of others
neutral,you get what you pay for ill just say that not impressed at all
positive,it works well makes the skin feels soft it is very helpful especially in the winter months
neutral,bought this product because my eyes have dark circles like fading black eyes according to the other reviews and the product description this eye cream was going to take care of that along with eliminate the fine lines it helped the fine lines but that wasnt my issue after using valentia true glow eye cream for four weeks i thought there should be a difference but there is not going to try someone elses product now and will let you know if it improves my dark circles kind of thinking the people who got this as a sample product to do a review did not have dark circles or they exaggerated how the product worked you can see for yourself that the circles are still there if you are buying this to eliminate fine lines it works but your fine lines seem to become one or two bigger lines note the first three photos are after using the product for four weeks the last three photos are prior to using the product
negative,i thought this lotion was a great idea so i bought it sugar is very good for your skin so i assumed that i s what was in an edible body lotion it smells great feels great tastes great but no sugar fake sugar saccharine poison
negative,the molds were just too small and did not really put in the definition og what it was making and that made it hard to paint if your not using color acrylic i did however found it good to use when your using acrylic color gel
neutral,i put it on and not  minutes later i noticed that the little bird charm had fallen off  so needless to say my bracelet no longer has the bird charm but it is still cute  you get what you pay for i guess
positive,i really like it it is not as thick as the moisturizer but my skin feels very smooth and light
neutral,fine
negative,product was shipped defective the pump on the bottle was broken when it arrived and liquid was all inside the box  they tried to ship it in a pouch then resorted to putting a pvc pipe around the top of the bottle  not a good deal
negative,not the best smelling minimal nag champa
positive,good
negative,i was very disappointed i love zum and this scent but the package was smashed half the bottles were empty and as a consequence everything was fairly useless
neutral,feels ok but really hasnt done anything for my breast
negative,smells great but doesnt burn all it stops just after the tip is gone i went through three boxes and the same thing every time  very frustrated
neutral,good shampoo  when the bar arrived i was disappointed that it was so small  however using it has proved that you use so little that it lasts a long time  its been almost two months and i still have half the original bar left  the bar truly has no smell whatsoever no tea tree smell not even the soapy smell of saponified fats  i am using the bar as both shampoo for my hair and beard and as facewash  it lathers very well and doesnt leave residue  it is not drying out my face and the hair is more manageable  however i have softened water so the soaps performance is probably significantly different if you have hard water  i would generally give this soap  stars but i am withholding one because the soap is advertised as tea tree but there is absolutely no evidence of this to be found when using the soap  no smell no tingle no nothing  nobody would ever use this and think tea tree without having read it on the label
negative,plz plz plz dont buy this if u want nice makeup  it doesnt do what it say it do
negative,ordered this shaver after my old unit suddenly quit  should have heeded the previous review that this unit lacks the power and i think speed of the older norelcos  i have since ordered a pair of nicad batteries for about  and repaired my old norelco  what i should have done in the first place  i guess ill keep this new one as a backup but it is not my first choice  it shaves clean but is kind of slow and gutless
positive,i only used once battery doesnt seen to last long while charging your will not be able to use it drawback  luiz
negative,its great and it smells god but after  weeks the sugar scrub in it or whatever clumped up and the product wont come out anymore 
positive,i received this as a free test sample from pinch me the color was pretty the brush was nice and the polish was thick and applied nicely without any mess it wasnt chip free for two weeks as stated but lasted about a good week this color was light so when it did chip it wasnt super noticeable  i would recommend and use again
neutral,i have purchased  of these jackets over the past  years and have never had any that were as heavyweight as these were  during the winter months this will be nice because of the extra warmth  during the summer i will wear it as a shirt instead of a jacket because it will be too warm  the quality of the jacket is fine too  it doesnt repel bleach stains like the other jackets i have had in the past  the jackets arrived in just  days which was nice
neutral,i got these as a present for a friend and even though they work the only design is zigzag and not worth the money that i paid for it
neutral,i have dry skin and i didnt find this to be moisturizing enough for me im in search of another night cream although it does smell great
negative,not good
neutral,sturdy and roomy but tray arrived dented and scratched
neutral,it does the job well
negative,i purchased this razor and it stopped working so they sent me a replacement  within a few weeks the replacement also stopped working very disappointed
neutral,it was cute but just a simple clear case that gets boring after a while
neutral,smells funky but otherwise cute
neutral,picture looks lighter dark brown w subtle blonde highlights its a very thick wig innatural for the amount of hair overall it it a good quality wig shipping was good if youre want a thick headed brown wig it could work for you i didnt return it bc im keeping it for costume parties
neutral,worked great but a little expensive compared to a local store
neutral,nice material but doesnt cover rollers or big thick hair
negative,beware if the item isnt packaged with the goody label its not the real thing  the item received wasnt the goody brand it was a poor imitation of the original which is unfortunate because i really wanted to replace the pair that i lost the pins were packaged in a thin clear plastic bag encased in an ivory mesh bag  clearly not goody i dont automatically have a problem with buying imitation products but these simply werent well made i could see and feel that the end points were jagged and not cut smoothly but attempted to use them anyway i immediately noticed the difference in quality theyre supposed to glide through your hair when you spin them in but since the points werent buffed down properly you could feel it ripping through instead i had to return the item which sounds easy enough however one has to still spend time packaging it going to the post office and waiting forfollowing up on the email confirmation that the item was returned successfully to the warehouse and refunded i have amazon prime and this is one of those rare occasions when an order goes wrong but its still annoying enough to take the time to write about and to let the company know to not replace the genuine item with generic products needless to say i still need a pair of goody spin pins
positive,my husband just had all his teeth removed they put in permanent dentures basically they sit right on top of your gums so there is this really thin space between brushing will not get in there but this does it was recommended by our dentist it looks exactly like the picture but a little more attractive by that i meanit looks more sleek and slimline when you set it up my husband used it for the first time yesterday and was very impressed he said that it was a stronger pulse than he expected and that it removed what he didnt even know was there we can even share it as it doesnt touch the teeth there were a bunch of fancy attachments that we havent really used yet but its nice to know they are there it doesnt take up much room on our sink so thats really nice i like that it works and its inexpensive
negative,this product is misleading castile soap means soap made primarily of olive oil and lye pure castile soap means soap made exclusively of olive oil and lye and yet this soap is made primarily of palm oil and coconut oil  both palm oil and coconut oil are notorious for unethical exploitative labor practices in developing countries  palm oil plantations commonly use actual slave workers on top of that palm oil plantations are possibly the leading cause of deforestation and ecosystem destruction worldwide  in conclusion by buying this bar of soap you are feeding into a cycle of misleading greenwashed marketing exploitative labor practices and even slavery in developing countries and massive global deforestation
positive,easy  fast to use  makes a difference in my skin texture i plan on purchasing this item again
negative,didnt even take it out of the packageand it was already broke
neutral,i definitely feel spicy heat when it is applied to my thighs and stomach no whether or not is it doing the job is another story  dont be fooled and think its working just because you feel heat  i have yet to see results and i have been using this products for a few weeks now  so i finally finished this tube and sadly i dont see any results  i will not be ordering this again  
negative,after the first shaving stroke fresh out of the package i immedeatly noticed they were dull  you could get a better shave using a better blade multiple times than using a fresh one of the astra blades
neutral,not like the ones from years ago bristles are far apart and not as hot but price is ok and couldnt find anywhere else
neutral,it is okay
negative,pencils way to hard
neutral,the soap is good im surprised by its aroma and quality but the  shipping kind of steers me away from the product
negative,couldnt get to work
negative,you will get a better shave trying to take the dollar bills and run them across your face than you will get from this shaver  not only does it not give a close shave but i seem to keep bumping the razor head release button as well  each time the thing flies apart with three razor heads their respective covers and the pronged bracket that is supposed to hold them together racing for the sink drain more than once ive had to take the trap off the sink and fish these out
negative,the headband  is so small for adults it barely fits and is very tight it will give you a headache looks perfect for kids also the ears are not like the product  pictured they are much smaller and look more like pointy mouse ears
neutral,love the color gloss texture seems kind of off
positive,nice fun
neutral,ive had this shaver for  years and the cutting power and effectiveness are great it gives a really close shave if you hold the cutting heads between your thumb and forefinger it is easy to clean and should be cleaned every day the only beef i have is the short battery life even after running the battery down and fully recharging it a couple of times a year it now continues to die slowly after  minutes of use i have to plug it in and use it as a corded model the shaver cannot be opened to insert a fresh battery instead you have to toss out the whole shaver and buy a replacement shaver the battery which i charge daily should last longer than  years probably an intentional design flaw on the part of remington to get you to buy a new shaver   but ill probably still buy another  because it works well and i figure i can buy  of them over the next  years for the cost of one newer model
neutral,i was given the chance to try this razor out as a part of a program run by gillette  luckily i didnt have to pay for the product as i wouldnt put this handle above any others in terms of difference  like many other handles it has rubberized parts to keep stable in your hand while shaving  kind of important but certainly not unique to this product  combined with the cartridge though i would say this razor has an edge mind the pun over the competition  just based on the handle this product is not particularly amazing but combined with the specific cartridges i do suggest the product and would say it is worth the cost
neutral,this product was purchased for my spouse  so far she hasnt seen any noticeable weight loss  actually she states the product leaves her feeling hungry  the verdict is still out but so far were not too impressed
negative,not what i was expecting at all usually essie colors are true to color this is one exception once applied the color is iridescent with a lot of yellow  greens tones and even with three coats its still translucent i have a few other colors from this retro revival line and love them but this one is not worth the almost  i paid
positive,i love garlic kim che and other stuff that makes you breath go really bad  these always fix me right up  warning follow the instructions  if you dont you will taste parsley oil for hours
negative,cute but broken
neutral,i wear nail polish hard and really wanted this product to work but it does not perform as stated  if i use the polish as directed it literally peels off my nails the first day in long layers  if i use one coat of the color and then the clear polish it chips to an unwearable level by the third day  it works fine for my toenails as many nail polishes do but it does not stick on my nails the way i would like it to  it does have a stay that is better than many nail polishes i have tried and in that regard i like it and you may as well  however it is hard to get off with normal nail polish  i read other reviews in that it comes off with ordinary nail polish normally but it did not  i needed to get my gel nail polish that sits and dissolves the polish on my nail in order to get it off in a timely manner and when i say timely i mean  minutes at least with this nail polish  if not its  minutes and that is a lot of time to be doing nails every three days  if it was easy to get off i would boost this to alike because if i use one coat it seems to not peel as much
neutral,this cost  at wallgreens it is very dry and matte which i like sometimes it does not last  hoursit fadesbleeds and smudges it it creamy after you layer it on to get good color pay off and it doesnt featherno chemical smells or taste either the color isnt that peachy on my medium skin tone it looks more coral nude peach on my skin its okay for the money i will say because its so matte you can see fine lines in lips and i dont like that
negative,i love the idea and except for one problem it would be perfect  the problem is the length of the belt  it is only for toothpicks  if you have extra weight on your body especially in the abdominal area do not buy this product
positive,amazing scent i love it d
positive,the loofah is amazing its so much better than the dove mencare scrubbers youve got me sold
negative,a waste of money
neutral,the philips sonicare hx kids brush heads ages  is designed to go with the philips sonicare hx sonicare for kids  the brush heads come in a two pack one blue brush head and one red brush head as pictured so that if they are being used for multiple children they can distinguish their brush head from their siblings brush head  the brush heads work with the kids handle i tried fitting them on my adult sonicare handle while the kids handle broke and they do not fit on another device except for the kids sonicare handle and seem to get the job done  for the most part these brushes hold up well and get the job done on two occasions when i pulled the brush off the handle i noticed that the brush separated from the base of the brush and broke apart the brush heads are two pieces snapped together  luckily we were ready to replace the bush heads but if they would have been brand new i would have absolutely called sonicare to report this  we have used  of these brushes so far and only two of them had issues
negative,broke within the first week the charm fell off and the back fell apart
positive,very satisfied with this oil and the company
negative,the  sticker  has  fallen off  before  the  first  use  have  not  been  able  to get it  to work
negative,the handle gets too hot to use comfortably while the air coming out doesnt get nearly hot enough or as hot as advertised not intended for thicker hair as described i used it x and gave up
negative,this is simply the same as a garment streamer except it has a hose  i bought one and it lasted about  uses and quit  i have found that most steamers like this have a very short life so you might as well by a   fabric steamer and save    a steamer is a steamer is a steamer
positive,sturdy
negative,i usually use cnd shellac and can get a solid week to ten days before there is growth and i prefer to change it however this gorgeous dnd color only lasts a day before it chips ive never had a chipping issue with cnd so disappointed
negative,i did not like it because it didnt work
negative,horrible i have used this product maybe  times and the heating element just caught fire actual flame inside the dryer i store it in a container for hot tools in a cabinet and theres no way anything got into it  it also doesnt have a good back cap and if youre not very careful your hair gets sucked into it
positive,really great facial scrub that cleans and removes blackheads very gently my pores looks so much smaller since i have been using i will definitely reorder this product
positive,i enjoyed this movie perhaps it was better because i had just visited the marine air base and had a great tour
negative,this spray tan machine works great it does everything its supposed toalso it gives you the most natural looking tan for about  days but i gave it only  stars because the tanning products fades off in  days and its really patchy and unnatural even starts to turn a orange color as well  modstly on the hands then it takes forever to get it off  yes i do exfoliate and shave  hours before spray tan also followed every step to the tee  and tryed everything to get it off even whatched a youtube video where they used a dead sea body mud mask  so i ordered one from amazon and it still didnt take it all off  took about a month    my nanny ordered the same thing from here as well and is having the same problems waste of  unless your planning on get a srpay every couple days  pictures first  taken on day  and the last picture was taken the day of the spray  ps also if you are going to buy any of these products i would only go with the quick spray which has the best color and only have to wait  hours before showering costs a little more but well worth it for a specific occasion  wedding party  etc   also i love the daily lotion i used it without a spray on just cause its not greasy and smells like the beach  great time lotion
positive,its aquaphor
positive,received the product on time as scheduled i was pleasantly surprised at the quality of the productthat quality along with the product price made this an excellent purchase i would not hesitate in ordering this againi am seriously thinking of purchasing this product for gifts
negative,seemed fine except im furious because the container top was cracked there was a bit of the liquid latex on the side and the container was already opened this was a disgrace and if i could give zero stars i would
positive,cool fun so many opportunities
neutral,it lasts without any greasy foods but not always through drinks and it stings like a mfer durring application no joke
negative,serious waste of money im begging you please dont waste your money its ineffective its cheaply made and is really not worth the price
neutral,good
positive,this was a great way to try out several products without investing a lot of money i am loving this product and how it makes my skin feel the light smell of rose is perfect for me as i am sensitive to strong smells
positive,they feel nice
positive,very good
negative,too small for shave soap block
positive,absolutely love this product i noticed a difference after only  uses not only does it remove blackheads it leaves your skin feeling soft and moist
neutral,it works okay on minor breakouts and not too well on flare ups
negative,normally i love this eye cream and have always bought it locally but i decided to buy it on amazon for the convenience what a mistake i just opened the jar today and the eye cream was so hard that it was unusable i bought it less than  days ago so i hope to be able to return it even though it is a personal care product i have noticed in using this product that it does get hard if you dont use it up fast enough i didnt use a prior jar every day and noticed that when i got near the bottom of it it was had become just as hard as this new jar which i hope to return the facial cream on the other hand is an excellent product and has never gotten hard even if taking a while to use it up i have a lot of sensitivity to various scents and this brand has never caused any problems i am disappointed this eye cream got hard but i will continue to buy it  but locally instead of online
negative,too small
positive,good refills for a very reasonable price
neutral,a little tight other than that its fine
positive,amazing thick rich lather  i was not expecting the performance from what i would consider a foo foo bar of soap but this bar leaves you perfectly clean and rinses brilliantly  the tiny specks in the soap give you a built in scrub and exfoliates  i have never had a bar of soap that could lather this well  if you use one of those nylon scrubbers you will get the best results  thick lather that does not drip and pure luxury but at the same time this soap is a work horse and gets you very clean and pleasant smelling  i work on a horse ranch and come in from the day with a lot of atmosphere and aroma on my skin  i come out of the shower clean and fresh  i truly think this is the end of my grocery large dept store chain brands of soap  nothing can compare  this bar of soap sits and sits in my shower not even in a holder and stays firm and ready for the next days use  no puddles of mushy soap  and when you do get down to the last  of a bar it still smells wonderful and performs whereas name brand soaps seem to lose ability to really clean and keep their scent with the exception of irish spring which is very over powering for me  checking to see if this is a subscribe and save item here on amazon so i can subscribe to deliveries  i have not seen this soap sold any where else yet
